LATITUDE,LONGITUDE
0,38.7725497,-0.5550567
1,38.7953278,0.0332729
2,39.2011866,-0.3099469
3,39.4840108,-0.7532808999999999
4,38.4197908,-0.3927523
5,41.6479179,-0.8821348999999999
6,39.4520821,-0.4676389
7,38.6216341,-0.1270333
8,38.1839924,-0.8700401
9,39.4840108,-0.7532808999999999
10,38.8444994,0.008289699999999999
11,39.43650239999999,-0.4693519
12,38.0869097,-0.7211924
13,38.3448252,-0.4809634
14,39.4840108,-0.7532808999999999
15,39.4740331,-0.4146675
16,38.5390461,-0.1198303
17,38.4007388,-0.4287509
18,41.9837022,2.8239713
19,38.9477665,-0.1946812
20,37.9076577,-0.7447235
21,38.2162962,-0.5168039
22,38.3444317,-0.484906
23,38.4270595,-0.3990586
24,38.5085371,-0.2338506
25,38.39599870000001,-0.5190232
26,39.1867339,-0.4802809
27,38.3530003,-0.4862705999999999
28,39.4862044,-1.0933935
29,38.7285384,0.1048639
30,39.5616861,-0.2901036
31,38.53346519999999,-0.5740803
32,39.4840108,-0.7532808999999999
33,37.9786924,-0.6812693999999999
34,37.9795558,-0.690272
35,38.8210281,-0.2214483
36,38.4022795,-0.431896
37,39.5858702,-0.3368327
38,38.5815719,-121.4943996
39,38.8422317,0.0086049
40,38.3902557,-0.4426561
41,39.4840108,-0.7532808999999999
42,39.4840108,-0.7532808999999999
43,38.3976973,-0.5379891
44,39.4840108,-0.7532808999999999
45,39.4840108,-0.7532808999999999
46,39.4840108,-0.7532808999999999
47,38.3976973,-0.5379891
48,38.3427064,-0.4860273000000001
49,38.3458745,-0.4933406
50,38.3390648,-0.5144596
51,38.3761491,-0.4815763999999999
52,38.34313789999999,-0.4842888999999999
53,38.3508467,-0.5506019999999999
54,38.34504870000001,-0.4799919
55,38.4005329,-0.4345198
56,38.3850438,-0.4921601
57,38.3410012,-0.4876227
58,39.4840108,-0.7532808999999999
59,39.4681455,-0.3801979
60,38.4005329,-0.4345198
61,38.2544481,-0.5233246
62,38.3422176,-0.4946952000000001
63,38.12559040000001,-0.8748018
64,38.3461713,-0.4779929
65,39.4840108,-0.7532808999999999
66,38.3471987,-0.4876438
67,38.3494999,-0.4982463999999999
68,38.37608,-0.4915698
69,38.3627237,-0.4820246
70,41.3968834,2.1615936
71,38.3413533,-0.4964974
72,38.34933830000001,-0.5149686
73,38.3576881,-0.4292366
74,39.4840108,-0.7532808999999999
75,37.7749295,-122.4194155
76,38.6393676,-0.8667680999999999
77,39.4840108,-0.7532808999999999
78,39.4777459,-0.3748893
79,38.5410566,-0.1224937
80,38.60039950000001,-0.0491725
81,38.6450799,0.0449469
82,39.4205314,-0.3895736
83,40.1550657,0.0481714
84,38.35494,-0.48525
85,38.7163803,-0.6560905
86,39.4677668,-0.3742837
87,39.4663159,-0.3815988
88,39.62622,-0.5955163
89,38.8192616,-0.3778124
90,38.5376706,-0.1082885
91,38.5372918,-0.1069658
92,39.4840108,-0.7532808999999999
93,38.3460627,-0.4907945
94,39.4840108,-0.7532808999999999
95,38.0794399,-0.7352411999999999
96,38.6510362,-0.1260347
97,38.92304,-0.09265
98,39.4840108,-0.7532808999999999
99,39.4840108,-0.7532808999999999
100,39.5595958,-0.4983815
101,39.4840108,-0.7532808999999999
102,38.5375548,-0.1335892
103,38.0638844,-0.8950372999999999
104,39.4840108,-0.7532808999999999
105,38.6428987,0.04381119999999999
106,39.4801339,-0.3647731
107,39.6653893,-0.2340856
108,38.1776063,-0.8687011
109,39.4594273,-0.3387515
110,40.8886895,-2.9436437
111,38.5079606,-0.2285807
112,38.1593106,-0.8023615
113,38.8408744,-0.1192815
114,38.9372645,-0.1505197
115,38.1916126,-0.5498864
116,39.4630131,-0.3748538
117,39.4735652,-0.4116897
118,38.99194600000001,-0.155342
119,36.746209,-5.161225099999999
120,39.6148749,-0.3055262
121,38.5802471,-0.1032469
122,38.3439283,-0.7622201
123,39.4738775,-0.4120637
124,38.2706609,-0.6932501999999999
125,38.2744134,-0.6805256000000001
126,39.4840108,-0.7532808999999999
127,39.4840108,-0.7532808999999999
128,38.27243,-0.68521
129,37.9149479,-0.7232152
130,39.4840108,-0.7532808999999999
131,38.1052147,-0.9179523
132,38.0806429,-0.9421866000000001
133,38.1446297,-0.6460732
134,38.2703865,-0.7135313
135,38.9722016,-0.1774849
136,38.4753777,-0.793144
137,38.4628457,-0.8177055999999999
138,38.4739364,-0.7909488
139,39.4735895,-0.3789726
140,39.4840108,-0.7532808999999999
141,39.4988104,-0.4262115
142,39.4667167,-0.3766988000000001
143,38.7747015,0.0836837
144,39.1854914,-0.4809527
145,39.445774,-0.5068302
146,38.6755847,-0.2003472
147,39.4767178,-0.3799332
148,38.3009573,-0.9805606000000001
149,38.4051645,-0.5363066
150,38.4057326,-0.5361036
151,39.4740995,-0.3764627
152,39.4442995,-0.4125181000000001
153,38.7932795,0.1771725
154,39.6690402,-0.3396694
155,39.4843908,-0.3789368
156,38.538664,-0.5063132
157,39.4732818,-0.3729799
158,39.4827135,-0.3970395
159,38.37863,-0.72927
160,39.4840108,-0.7532808999999999
161,40.9701039,-5.663539699999999
162,38.6462225,0.0492276
163,38.6944345,-0.4760131
164,39.4840108,-0.7532808999999999
165,38.6995011,-0.4832251
166,38.7058372,-0.4674517
167,38.4178412,-0.4413611
168,39.2941642,-0.4153142
169,38.84945,0.0187699
170,37.8615554,-0.7915086
171,38.0273343,-0.7449454999999999
172,39.6691624,-0.3392284
173,38.8211006,-0.6104630999999999
174,39.6690789,-0.3402206
