Instituto,Localidad,Presentados,Aptos,Media Expediente,Media PAU
IES LA FOIA D'ELX,ELX,41,41,7.7,7.4
IES MATEMÀTIC VICENT CASELLES COSTA,GATA DE GORGOS,26,26,7.9,6.6
IES LA NUCIA,LA NÚCIA,32,32,7.6,6.5
IES L'ARABÍ,ALFÀS DEL PI,37,37,7.7,6.1
IES MEDITERRÀNIA,BENIDORM,23,23,7.5,6.1
IES DE PEDREGUER,PEDREGUER,26,26,7.8,6.6
IES JAIME DE SANT-ÁNGEL,REDOVÁN,24,23,7.8,5.2
IES MARINA BAIXA,LA VILA JOIOSA,30,29,8.2,7
IES DE COX,COX,22,22,7.8,6.9
IES DE TEULADA,TEULADA,39,38,7.8,6.3
CENTRE PRIVAT NEWTON COLLEGE SECUNDARIA,ELX,20,20,7.8,6.8
IES DE RAFAL,RAFAL,23,23,7.9,6.2
IES MEDITERRÁNEO,TORREVIEJA,49,47,7.6,6.1
IES SORTS DE LA MAR,DÉNIA,46,46,7.5,7.2
IES PLAYA FLAMENCA,ORIHUELA,21,20,8.1,6.1
IES TORREVIGÍA,TORREVIEJA,33,32,7.1,5.9
CENTRE PRIVAT LA DEVESA,ELX,18,18,8.4,7
IES PARE VITÒRIA,ALCOI,74,72,7.6,6.3
IES COTES BAIXES,ALCOI,82,81,7.8,6.4
CENTRE PRIVAT LA SALLE,ALCOI,27,27,8.1,6.7
CENTRE PRIVAT SANT ROC,ALCOI,29,29,8.1,6.9
IES JAIME II ,ALACANT,51,50,7.8,6.6
CENTRE PRIVAT INMACULADA,ALACANT,89,85,8,6.4
CENTRE PRIVAT CEU JESÚS MARÍA,ALACANT,66,64,8.1,6.4
CENTRE PRIVAT MARÍA AUXILIADORA,ALACANT,30,27,7.8,6
CENTRE PRIVAT SANTA MARÍA DEL CARMEN ,ALACANT,28,27,8,5.9
CENTRE PRIVAT SAGRADO CORAZÓN HH.MARISTAS,ALACANT,95,94,8.1,6.5
CENTRE PRIVAT SAGRADOS CORAZONES,ALACANT,18,18,7.2,6.2
CENTRE PRIVAT SAN AGUSTÍN,ALACANT,84,82,7.5,6.3
CENTRE PRIVAT SAN JOSÉ DE CAROLINAS,ALACANT,29,26,7.1,5.7
CENTRE PRIVAT SANTA TERESAVISTAHERMOSA,ALACANT,30,30,7.6,6.2
CENTRE PRIVAT DON BOSCO -SALESIANOS ,ALACANT,90,89,7.7,6.4
CENTRE PRIVAT CALASANCIO ,ALACANT,38,31,7.6,5.2
IES JORGE JUAN ,ALACANT,43,39,7.4,5.6
IES MIGUEL HERNÁNDEZ ,ALACANT,41,35,7.2,5.8
IES FIGUERAS PACHECO ,ALACANT,115,100,7.3,5.5
IES ANTONIO JOSÉ CAVANILLES ,ALACANT,25,20,7.5,4.9
IES LA NÍA,ASPE,36,35,7.7,5.9
IES PADRE ARQUÉS,COCENTAINA,32,30,8.3,6.4
CENTRO PRIVADO SAGRADA FAMILIA,ELDA,42,42,7.7,6.4
CENTRO PRIVADO SANTA MARÍA DEL CARMEN,ELDA,24,24,8.2,6.2
IES AZORÍN,PETRER,48,46,7.2,5.7
IES LA MELVA,ELDA,42,42,7.6,6.2
IES LA TORRETA,ELDA,37,34,7.6,5.3
IES FRAY IGNACIO BARRACHINA,IBI,50,50,7.7,6.6
IES LA FOIA,IBI,18,18,7.6,6.4
IES DE XIXONA,XIXONA,21,21,7.6,6.2
CENTRE PRIVAT PADRE DEHÓN ,NOVELDA,53,52,7.9,6.5
IES LA MOLA,NOVELDA,56,56,7.3,5.7
IES MARHUENDA PRATS,EL PINÓS,12,11,7.8,5.9
IES SAN VICENTE,SANT VICENT DEL RASPEIG,84,82,7.5,5.8
IES HERMANOS AMORÓS ,VILLENA,44,44,7.9,6.3
IES ANTONIO NAVARRO SANTAFÉ,VILLENA,36,29,7.8,5.4
IES EL VINALOPÓ ,NOVELDA,30,28,7.5,5.7
IES VIRGEN DEL REMEDIO ,ALACANT,25,20,7.4,5
IES LEONARDO DA VINCI ,ALACANT,14,12,7.3,5.1
IES MONASTIL,ELDA,36,34,7.9,6
IES ANDREU SEMPERE ,ALCOI,44,43,7.5,6.2
CENTRE PRIVAT C.E.B.A.T. C. EST. BÁSICOS ATLAS,MUTXAMEL,8,8,7.4,6.1
CENTRE PRIVAT ALTOZANO,ALACANT,23,23,8.2,7.2
IES SAN BLAS,ALACANT,83,81,7.5,6.2
IES BAHÍA DE BABEL,ALACANT,31,30,7.3,6.1
IES CABO DE LA HUERTA,ALACANT,65,64,7.6,6.4
IES MARE NOSTRUM,ALACANT,42,41,7.8,6
IES ENRIC VALOR,MONÒVER,48,45,7.5,5.9
IES CLOT DE L'ILLOT,CAMPELLO,15,14,7.5,5.9
IES ENRIC VALOR ,CASTALLA,24,24,7.4,6.7
IES 8 DE MARZO,ALACANT,42,40,7.6,6
IES HAYGÓN,SANT VICENT DEL RASPEIG,36,34,7.7,6.1
IES PROFESSOR MANUEL BROSETA,BAYERES DE MARIOLA,37,37,7.9,6.9
IES PASCUAL CARRIÓN,SAX,24,24,7.8,6.3
IES PLAYA SAN JUAN,ALACANT,91,84,7,5.8
IES DOCTOR BALMIS,ALACANT,43,41,7.3,5.8
IES LA CREUETA,ONIL,25,25,8,6.8
IES POETA PACO MOLLÀ,PETRER,53,53,7,6.3
IES LAS LOMAS,ALACANT,5,5,8.1,6
IES MUTXAMEL,MUTXAMEL,36,35,7.7,6
IES LAS FUENTES,VILLENA,56,56,7.8,6.5
IES VILLA DE ASPE,ASPE,34,34,7.8,6.2
IES ENRIC VALOR,CAMPELLO,36,32,7.2,5.7
IES SERRA MARIOLA,MURO DE ALCOY,52,51,7.7,6
IES DE BIAR,BIAR,40,39,8.2,6.4
IES GRAN VIA,ALACANT,4,2,6.8,4.1
IES NOU DERRAMADOR,IBI,26,23,7.1,5.6
IES RADIO EXTERIOR,ALACANT,37,31,7.1,5.4
IES LAS NORIAS,MONFORTE DEL CID,15,14,8,6.1
IES LA CANAL,PETRER,29,29,7.6,6.8
IES GAIA ,SANT VICENT DEL RASPEIG,40,40,7.4,6.1
IES EL PLA,ALACANT,14,12,7.2,5.8
ES L'ALLUSSER,MUTXAMEL,28,24,7.3,5
CENTRO PRIVADO SAN ALBERTO MAGNO ,MONFORTE DEL CID,8,8,8.4,5.8
IES MARÍA BLASCO ,SANT VICENT DEL RASPEIG,50,49,7.5,5.5
CENTRE PRIVAT EL VALLE ,ALACANT,10,10,7.9,6.9
CENTRE PRIVAT ÁNGEL DE LA GUARDA III ,ALACANT,38,38,7.8,6.2
